03002000 2404E000
0301B000 2403C000
0301D000 2400E000
0301E000 2400F000
0301F000 2400D000
0302D000 24027000
03033000 24004000
03036000 24006000
03038000 2401F000
03039000 2401A000
0303A000 24050000
0303B000 24040000
0303C000 240AB000
03043000 24003000
03044000 2400B000
03045000 24054000
03046000 240BD000
03047000 24047000
03048000 2409B000
0304E000 24005000
0304F000 24020000
03050000 24021000
03051000 24022000
03052000 24023000
03053000 24024000
03054000 24025000
03055000 24029000
03056000 24064000
03057000 24007000
03058000 24008000
03059000 2403A000
0305A000 24011000
0305B000 2400C000
0305C000 2401C000
0305D000 2401D000
0305E000 2401E000
03073000 2404F000
03077000 2406A000
03078000 24061000
03079000 24076000
0307A000 24077000
0307C000 24069000
0307D000 24091000
0307E000 2402D000
0307F000 24065000
03080000 2405A000
03081000 2405F000
03082000 2406B000
03083000 240CF000
03084000 2406D000
03085000 24066000
03086000 2405E000
03087000 24063000
03088000 240C7000
03089000 240C0000
0308A000 2404D000
0308C000 2404A000
0308D000 24034000
0308E000 240A0000
0308F000 24039000
03090000 24038000
03091000 240CC000
03092000 2401B000
03093000 2403F000
03094000 24072000
03095000 24095000
03096000 240AD000
03097000 240AE000
03098000 240B8000
03099000 240C9000
0309A000 24099000
0309B000 240A2000
0309C000 240A3000
0309F000 2408B000
030A0000 24070000
030A1000 2407A000
030A2000 24067000
030A3000 24084000
030A4000 24088000
030A5000 24081000
030A6000 24089000
030A7000 2406F000
030A8000 24068000
030A9000 24075000
030AA000 24082000
030AB000 24083000
030AC000 24094000
030AD000 2408A000
030AE000 24052000
030AF000 24048000
030B1000 2405D000
030B2000 2406C000
030B3000 2407B000
030B4000 2407C000
030B5000 2407D000
030B6000 240B9000
030B7000 240BA000
030B8000 24059000
030B9000 240A4000
030BA000 240A5000
030BB000 2402A000
030BC000 2409A000
030BD000 240A8000
030BE000 240A1000
030BF000 240A6000
030C1000 240AC000
030C2000 240CB000
030C7000 240CE000
030C8000 240C3000
030C9000 24053000
030CA000 240CA000
030CB000 24028000
030CC000 2403B000
030CE000 24019000
030D1000 24012000
030D2000 2402B000
030D3000 24033000
030D5000 240C5000
030D6000 240C2000
030D7000 240B2000
030D8000 240BC000
030D9000 240C8000
030DA000 240CD000
030DB000 240A9000
030DD000 240C1000
030DE000 24097000
030DF000 24098000
030E0000 24049000
09026000 09068000
090C7000 0A016000
090C9000 0A07C000
090CA000 0A024000
090CD000 03015000
090E5000 0A06A000
090E6000 0A010000
090E7000 0A04D000
090E8000 0A039000
090E9000 0A015000
090EA000 0A02D000
090EB000 0A02E000
090EC000 0A030000
090ED000 0A029000
090EF000 0A01F000
090F1000 0A031000
090F2000 0A071000
090F4000 03031000
0915D000 0303C000
0917A000 2E00E000
0917E000 05034000
0917F000 05035000
09180000 0503A000
09181000 05045000
09182000 05046000
09183000 05047000
09184000 05036000
09185000 0501A000
0C030000 0A03D000
0C031000 0A078000
0C032000 0A07F000
11001000 0313C000
2E001000 2400A000
2E002000 2403E000
