Class ID	Class Name
07002000	CControlContainer
07006000	CControlLabel
07001000	CControlBase
07009000	CControlEntry
0700A000	CControlEnum
07014000	CControlUiRange
0700E000	CControlUiDockable
0700B000	CControlSlider
07015000	CControlGrid
07013000	CControlOverlay
07007000	CControlButton
0701B000	CControlQuad
0701C000	CControlEffectMaster
07019000	CControlUrlLinks
07031000	CControlText
07017000	CControlStyle
0700C000	CControlLayout
07027000	CControlStyleSheet
07012000	CControlForm
07004000	CControlUiElement
07005000	CControlEffect
0500E000	CFuncEnum
0501E000	CFuncTreeRotate
0500D000	CFuncTreeTranslate
05010000	CFunc
0501C000	CFuncTree
0500B000	CFuncPlug
06010000	CHmsViewport
06008000	CHmsZoneElem
06003000	CHmsItem
06001000	CHmsCamera
06014000	CHmsViewportPerfDbg
0601D000	CHmsConfig
06026000	CHmsAmbientOcc
06009000	CHmsZoneOverlay
06018000	CHmsPicker
0602F000	CHmsMgrVisEnvMap
06011000	CHmsPrecalcRender
06032000	CHmsMgrVisDynaDecal2d
06004000	CHmsZone
06002000	CHmsCorpus
06020000	CHmsItemShadow
06007000	CHmsPoc
06012000	CHmsShadowGroup
06025000	CHmsCorpus2d
06021000	CHmsLightMap
06022000	CHmsLightMapCache
0600F000	CHmsCorpusLight
0600D000	CHmsSoundSource
0602C000	CHmsLightArray
0602D000	CHmsDecalArray
06034000	CHmsMgrVisParticle
0600C000	CHmsLight
06016000	CHmsMgrVisDyna
0602E000	CHmsLightProbePartition
0602B000	CHmsLightMapParam
06028000	CHmsLightMapCacheSH
06023000	CHmsLightMapMood
06024000	CHmsLightMapAlloc
13001000	CInputPort
13003000	CInputPortNull
13006000	CInputBindingsConfig
1300D000	CInputReplay
13002000	CInputPortDx8
13007000	CInputDevice
13008000	CInputDeviceMouse
1300C000	CInputDeviceDx8Pad
1300A000	CInputDeviceDx8Mouse
1300B000	CInputDeviceDx8Keyboard
01020000	CMwCmdBufferCore
01012000	CMwCmdFastCall
010C0000	CMwCmdFastCallUser
01001000	CMwNod
01067000	CMwCmdBlockMain
01005000	CMwCmd
01024000	CMwParamProc
01093000	CMwCmdContainer
01026000	CMwRefBuffer
01003000	CMwEngine
0101C000	CMwCmdBuffer
01006000	CMwParam
01007000	CMwParamClass
01021000	CMwParamDataRef
01009000	CMwParamAction
0100C000	CMwParamBool
01008000	CMwParamStruct
01018000	CMwParamColor
0100D000	CMwParamEnum
0100E000	CMwParamInteger
0100F000	CMwParamIntegerRange
0101A000	CMwParamIso4
01017000	CMwParamIso3
010D0000	CMwParamMwId
01010000	CMwParamNatural
01011000	CMwParamNaturalRange
01013000	CMwParamReal
01014000	CMwParamRealRange
01015000	CMwParamString
01028000	CMwParamStringInt
01019000	CMwParamVec2
01016000	CMwParamVec3
0101F000	CMwParamVec4
010C2000	CMwParamInt3
010C3000	CMwParamNat3
010B0000	CMwParamQuat
01030000	CMwCmdBlock
12001000	CNetNod
1200F000	CNetConnection
1200C000	CNetServer
12012000	CNetHttpClient
12002000	CNetServerInfo
12010000	CNetFormConnectionAdmin
12009000	CNetFormPing
12021000	CNetFormRpcCall
12003000	CNetClientInfo
12008000	CNetFormEnumSessions
12004000	CNetFormTimed
12013000	CNetHttpResult
09002000	CPlugShader
090BE000	CPlugResource
09011000	CPlugBitmap
09026000	CPlugShaderApply
0904F000	CPlugTree
0903F000	CPlugTreeGenText
09006000	CPlugVisual
0901A000	CPlugSound
0904B000	CPlugVisualQuads2D
09014000	CPlugVisualLines2D
0904D000	CPlugFont
0902B000	CPlug
09079000	CPlugMaterial
09005000	CPlugSolid
09004000	CPlugShaderGeneric
090A8000	CPlugBitmapAtlas
09015000	CPlugTreeVisualMip
0907E000	CPlugBitmapSampler
09074000	CPlugFileVHlsl
090BB000	CPlugSolid2Model
09087000	CPlugBitmapRenderWater
090A7000	CPlugDecalModel
09056000	CPlugVertexStream
09075000	CPlugFileGPUV
0901E000	CPlugVisualIndexedTriangles
090AC000	CPlugSpriteParam
09010000	CPlugVisualSprite
09025000	CPlugFileImg
0906A000	CPlugVisualIndexed
0902C000	CPlugVisual3D
0901D000	CPlugLight
090AA000	CPlugSphericalHarmonics
09090000	CPlugBitmapRenderSolid
0900B000	CPlugBitmapRenderShadow
090AB000	CPlugBitmapArray
09077000	CPlugFilePHlsl
0902F000	CPlugFileGen
09024000	CPlugFileDds
09084000	CPlugFileZip
09066000	CPlugPointsInSphereOpt
09035000	CPlugFileFidContainer
0903A000	CPlugMaterialCustom
09022000	CPlugFileJpg
09086000	CPlugBitmapRender
