Class ID	Class Name
06010000	CHmsViewport
06003000	CHmsItem
06006000	CHmsPortal
06001000	CHmsCamera
06018000	CHmsPicker
0601D000	CHmsConfig
06004000	CHmsZone
06009000	CHmsZoneOverlay
06032000	CHmsMgrVisDynaDecal2d
06011000	CHmsPrecalcRender
06026000	CHmsAmbientOcc
06020000	CHmsItemShadow
06002000	CHmsCorpus
06007000	CHmsPoc
06012000	CHmsShadowGroup
06016000	CHmsMgrVisDyna
0602F000	CHmsMgrVisEnvMap
0602E000	CHmsLightProbePartition
0600F000	CHmsCorpusLight
0602D000	CHmsDecalArray
0602C000	CHmsLightArray
0600D000	CHmsSoundSource
06025000	CHmsCorpus2d
06021000	CHmsLightMap
06022000	CHmsLightMapCache
06008000	CHmsZoneElem
0600C000	CHmsLight
0602B000	CHmsLightMapParam
06028000	CHmsLightMapCacheSH
06024000	CHmsLightMapAlloc
06023000	CHmsLightMapMood
0500B000	CFuncPlug
05010000	CFunc
03005000	CGameApp
03006000	CGameMasterServer
0300F000	CGameNetwork
030D2000	CGameCtnNetwork
03001000	CGameManiaTitle
030D3000	CGameCtnApp
03093000	CGameCtnReplayRecord
03030000	CGameDialogs
0300C000	CGameSystemOverlay
03009000	CGameMenu
03027000	CGameAvatar
0302D000	CGameResources
03039000	CGameCtnDecorationAudio
030EB000	CGameLoadProgress
0308D000	CGameScriptDebugger
0301D000	CGameCtnChapter
0301E000	CGameCtnCatalog
0317B000	CGameScriptBuddiesManager
0300E000	CGameNetPlayerInfo
03141000	CGameAnticheat
030F0000	CGameManialinkScriptHandler
03160000	CGameCtnEditorPluginScriptHandler
03140000	CGamePlayerProfileChunk_PackagesInfos
03148000	CGamePlayerProfileChunk_ChallengesStats
03149000	CGamePlayerProfileChunk_ChallengesScores
0302C000	CGameRemoteBufferDataInfo
0302B000	CGameRemoteBufferPool
03049000	CGameLeagueManager
03020000	CGameNetOnlineEvent
0304D000	CGameNetOnlineNewsReply
03022000	CGameNetOnlineNews
0302E000	CGameNetServerInfo
03135000	CGamePlaygroundUIConfigMgr
0308A000	CGamePlayerInfo
03069000	CGameNetFormTimeSync
03067000	CGameNetFormAdmin
030F5000	CGameNetFormPlayground
03105000	CGameManialinkPage
0300A000	CGameNetFormPlaygroundSync
03068000	CGameNetFileTransfer
030BB000	CGameCtnNetServerInfo
0302A000	CGameRemoteBuffer
03043000	CGameCtnChallenge
030E9000	CGameNetDataDownload
030CB000	CGameCtnNetForm
0306A000	CGameNetFormCallVote
0308E000	CGameLeague
0300D000	CGamePlayground
03044000	CGameCtnChallengeInfo
0308C000	CGamePlayerProfile
0303F000	CGameGhost
030C9000	CGameCtnMenus
03066000	CGameManialinkBrowser
03180000	CGamePlayerProfileChunk_ManiaPlanetStations
030E2000	CGamePlaygroundInterface
03026000	CGameMasterServerRequest
