Class ID	Class Name
0B000000	CSystemEngine
0B005000	CSystemConfig
0B008000	CSystemFid
0B00B000	CSystemFidsFolder
0B00E000	CSystemFidMemory
0B00A000	CSystemFidFile
0B009000	CSystemFids
0B00C000	CSystemFidsDrive
0B013000	CSystemConfigDisplay
0B016000	CSystemFidBuffer
0B017000	CSystemNodWrapper
0B011000	CSystemCmdAssert
0B010000	CSystemCmdExec
0B00F000	CSystemCmdDuplicateNod
0B00D000	CSystemCmdLoadNod
0B007000	CNodSystem
0B003000	CSystemWindow
0B001000	CSystemMouse
0B002000	CSystemKeyboard
0B014000	CSystemPackManager
0B015000	CSystemPackDesc
240C4000	CTrackManiaControlMatchSettingsCard
240D3000	CTrackManiaEditorSimple
240D4000	CTrackManiaControlScores2
240BF000	CTrackManiaControlScores
2409F000	CTrackManiaRaceScore
240B5000	CTrackManiaPlayerProfile
240BE000	CTrackManiaControlRaceScoreCard
2409C000	CTrackManiaMatchSettingsControlGrid
2408F000	CTrackManiaControlCard
24090000	CControlTrackManiaTeamCard
24092000	CCtnMediaBlockUiTMSimpleEvtsDisplay
2408C000	CTrackManiaControlPlayerInfoCard
24087000	CGameControlCameraTrackManiaRace3
24086000	CGameControlCameraTrackManiaRace2
2407F000	CCtnMediaBlockEventTrackMania
24085000	CGameControlCameraTrackManiaRace
2407E000	CTrackManiaReplayRecord
24056000	CTrackManiaRaceNetLaps
2406E000	CTrackManiaControlCheckPointList
24078000	CTrackManiaRace1PGhosts
24045000	CTrackManiaRaceNetTimeAttack
24042000	CTrackManiaRace2PTurnBased
2403D000	CTrackManiaEditorCatalog
24030000	CTrackManiaNetForm
24037000	CTrackManiaRaceNetRounds
2402E000	CTrackManiaMenus
24017000	CTrackManiaEditorPuzzle
24018000	CTrackManiaRace1P
24026000	CTrackManiaEditorTerrain
24016000	CTrackManiaEditorFree
24015000	CTrackManiaSwitcher
24014000	CTrackManiaRace
24001000	CTrackMania
24013000	CTrackManiaEditor
24036000	CTrackManiaPlayerInfo
24035000	CTrackManiaNetworkServerInfo
24041000	CTrackManiaMatchSettings
24044000	CTrackManiaRaceNet
240C6000	CTrackManiaRaceInterface
24051000	CTrackManiaEditorInterface
2402F000	CTrackManiaNetwork
240D0000	CTrackManiaRaceAnalyzer
24032000	CTrackManiaControlPlayerInput
24031000	CTrackManiaPlayer
240D2000	CGameControlCameraFollowAboveWater
24080000	CTrackManiaPlayerCameraSet
240D1000	CTrackManiaEnvironmentManager
24058000	CTrackManiaEditorIconPage
24057000	CTrackManiaEditorIcon
12001000	CNetNod
12013000	CNetHttpResult
12014000	CNetMasterServer
12015000	CNetMasterHost
1201C000	CNetFileTransferDownload
12021000	CNetFormRpcCall
1201B000	CNetFileTransferForm
12010000	CNetFormConnectionAdmin
12009000	CNetFormPing
12008000	CNetFormEnumSessions
12007000	CNetFormQuerrySessions
12004000	CNetFormTimed
12012000	CNetHttpClient
12029000	CNetMasterServerUptoDateCheck
12002000	CNetServerInfo
12028000	CNetIPSource
12018000	CNetFileTransfer
1201A000	CNetFileTransferNod
12030000	CNetURLSource
1201E000	CNetSource
12003000	CNetClientInfo
1200F000	CNetConnection
1201D000	CNetFileTransferUpload
1200D000	CNetClient
1200C000	CNetServer
06010000	CHmsViewport
06019000	CHmsCollisionManager
06003000	CHmsItem
06001000	CHmsCamera
06021000	CHmsPackLightMap
06002000	CHmsCorpus
06005000	CHmsZoneDynamic
06006000	CHmsPortal
0601D000	CHmsConfig
06004000	CHmsZone
06009000	CHmsZoneOverlay
06011000	CHmsPrecalcRender
06026000	CHmsAmbientOcc
06018000	CHmsPicker
06020000	CHmsItemShadow
06007000	CHmsPoc
0600C000	CHmsLight
06022000	CHmsPackLightMapCache
06023000	CHmsPackLightMapMood
06024000	CHmsPackLightMapAlloc
0600F000	CHmsCorpusLight
06012000	CHmsShadowGroup
06008000	CHmsZoneElem
06014000	CHmsForceField
0600E000	CHmsPortalProperty
0600B000	CHmsPocEmitter
06025000	CHmsCorpus2d
06017000	CHmsFogPlane
06016000	CHmsForceFieldUniform
06015000	CHmsForceFieldBall
0600D000	CHmsSoundSource
0600A000	CHmsListener
08059000	CMotionManagerParticles
08058000	CMotionEmitterParticles
