Class ID	Class Name
0B000000	CSystemEngine
0B005000	CSystemConfig
0B008000	CSystemFid
0B00B000	CSystemFidsFolder
0B00E000	CSystemFidMemory
0B00A000	CSystemFidFile
0B009000	CSystemFids
0B00C000	CSystemFidsDrive
0B014000	CSystemPackManager
0B013000	CSystemConfigDisplay
0B003000	CSystemWindow
0B015000	CSystemPackDesc
0B007000	CNodSystem
24092000	CCtnMediaBlockUiTMSimpleEvtsDisplay
2407F000	CCtnMediaBlockEventTrackMania
24001000	CTrackMania
2407E000	CTrackManiaReplayRecord
24014000	CTrackManiaRace
24015000	CTrackManiaSwitcher
240B5000	CTrackManiaPlayerProfile
240D2000	CGameControlCameraFollowAboveWater
24080000	CTrackManiaPlayerCameraSet
2402F000	CTrackManiaNetwork
24013000	CTrackManiaEditor
2402E000	CTrackManiaMenus
24018000	CTrackManiaRace1P
24041000	CTrackManiaMatchSettings
240C6000	CTrackManiaRaceInterface
24036000	CTrackManiaPlayerInfo
240D0000	CTrackManiaRaceAnalyzer
24032000	CTrackManiaControlPlayerInput
24085000	CGameControlCameraTrackManiaRace
24031000	CTrackManiaPlayer
24051000	CTrackManiaEditorInterface
240D3000	CTrackManiaEditorSimple
2403D000	CTrackManiaEditorCatalog
24016000	CTrackManiaEditorFree
24017000	CTrackManiaEditorPuzzle
24078000	CTrackManiaRace1PGhosts
24035000	CTrackManiaNetworkServerInfo
240D1000	CTrackManiaEnvironmentManager
24030000	CTrackManiaNetForm
2409F000	CTrackManiaRaceScore
24044000	CTrackManiaRaceNet
24045000	CTrackManiaRaceNetTimeAttack
24037000	CTrackManiaRaceNetRounds
24056000	CTrackManiaRaceNetLaps
2406E000	CTrackManiaControlCheckPointList
240D4000	CTrackManiaControlScores2
2408C000	CTrackManiaControlPlayerInfoCard
24058000	CTrackManiaEditorIconPage
2408F000	CTrackManiaControlCard
24057000	CTrackManiaEditorIcon
12013000	CNetHttpResult
12014000	CNetMasterServer
12021000	CNetFormRpcCall
1201B000	CNetFileTransferForm
12010000	CNetFormConnectionAdmin
12009000	CNetFormPing
12008000	CNetFormEnumSessions
12007000	CNetFormQuerrySessions
12001000	CNetNod
12004000	CNetFormTimed
1201C000	CNetFileTransferDownload
12015000	CNetMasterHost
12012000	CNetHttpClient
12029000	CNetMasterServerUptoDateCheck
12003000	CNetClientInfo
12002000	CNetServerInfo
12028000	CNetIPSource
12018000	CNetFileTransfer
1201A000	CNetFileTransferNod
12030000	CNetURLSource
1201E000	CNetSource
1200F000	CNetConnection
1201D000	CNetFileTransferUpload
1200D000	CNetClient
1200C000	CNetServer
06010000	CHmsViewport
06003000	CHmsItem
06021000	CHmsPackLightMap
06001000	CHmsCamera
06005000	CHmsZoneDynamic
06019000	CHmsCollisionManager
06006000	CHmsPortal
0601D000	CHmsConfig
06004000	CHmsZone
06009000	CHmsZoneOverlay
06011000	CHmsPrecalcRender
06002000	CHmsCorpus
06026000	CHmsAmbientOcc
06018000	CHmsPicker
06020000	CHmsItemShadow
0600C000	CHmsLight
06022000	CHmsPackLightMapCache
06023000	CHmsPackLightMapMood
06024000	CHmsPackLightMapAlloc
0600F000	CHmsCorpusLight
06012000	CHmsShadowGroup
06007000	CHmsPoc
06014000	CHmsForceField
0600D000	CHmsSoundSource
06017000	CHmsFogPlane
06025000	CHmsCorpus2d
06008000	CHmsZoneElem
0600B000	CHmsPocEmitter
08058000	CMotionEmitterParticles
08029000	CMotionCmdBase
08035000	CMotionTrackMobilRotate
08059000	CMotionManagerParticles
08001000	CMotion
0804E000	CMotionManaged
0805B000	CMotionParticleEmitterModel
08034000	CMotionPlayer
0802D000	CMotionCmdBaseParams
08033000	CMotionTrack
0805A000	CMotionParticleType
0804B000	CMotionManager
0802B000	CMotionShader
08030000	CMotionPath
08038000	CMotionLight
08039000	CMotionTrackMobilMove
08037000	CMotionSkel
08036000	CMotionSkelSimple
0500B000	CFuncPlug
0500E000	CFuncEnum
05038000	CFuncColorGradient
05036000	CFuncEnvelope
05018000	CFuncLight
05003000	CFuncKeysTrans
05004000	CFuncKeysTransQuat
0501A000	CFuncKeysReal
05007000	CFuncSkelValues
05006000	CFuncKeysSkel
05005000	CFuncSkel
05010000	CFunc
05002000	CFuncKeys
