Class ID	Class Name
12014000	CNetMasterServer
12015000	CNetMasterHost
12013000	CNetHttpResult
12012000	CNetHttpClient
12001000	CNetNod
12004000	CNetFormTimed
12009000	CNetFormPing
12002000	CNetServerInfo
12003000	CNetClientInfo
12010000	CNetFormConnectionAdmin
12008000	CNetFormEnumSessions
12007000	CNetFormQuerrySessions
1201B000	CNetFileTransferForm
1200E000	CNetFormModelerPlugin
1200A000	CNetFormNodsContainer
0B000000	CSystemEngine
0B013000	CSystemConfigDisplay
0B005000	CSystemConfig
0B003000	CSystemWindow
0B009000	CSystemFids
0B00B000	CSystemFidsFolder
0B008000	CSystemFid
0B00A000	CSystemFidFile
0B00E000	CSystemFidMemory
0B00C000	CSystemFidsDrive
0B010000	CSystemCmdExec
0B011000	CSystemCmdAssert
0B00F000	CSystemCmdDuplicateNod
0B00D000	CSystemCmdLoadNod
0B007000	CNodSystem
0B001000	CSystemMouse
0B002000	CSystemKeyboard
0B014000	CSystemPackManager
0B015000	CSystemPackDesc
0C00B000	CDx9DeviceCaps
0C001000	CVisionViewport
0C00A000	CVisionViewportDx9
01020000	CMwCmdBufferCore
01001000	CMwNod
01003000	CMwEngine
01012000	CMwCmdFastCall
010C0000	CMwCmdFastCallUser
01005000	CMwCmd
01031000	CMwCmdInst
01056000	CMwCmdExpClass
01067000	CMwCmdBlockMain
01052000	CMwCmdScript
0101C000	CMwCmdBuffer
01006000	CMwParam
01009000	CMwParamAction
0100C000	CMwParamBool
01007000	CMwParamClass
01027000	CMwParamRefBuffer
01026000	CMwRefBuffer
01008000	CMwParamStruct
01018000	CMwParamColor
0100D000	CMwParamEnum
01010000	CMwParamNatural
01011000	CMwParamNaturalRange
0100E000	CMwParamInteger
0100F000	CMwParamIntegerRange
01013000	CMwParamReal
01014000	CMwParamRealRange
01015000	CMwParamString
01028000	CMwParamStringInt
010D0000	CMwParamMwId
0101A000	CMwParamIso4
01017000	CMwParamIso3
0101F000	CMwParamVec4
01016000	CMwParamVec3
01019000	CMwParamVec2
010B0000	CMwParamQuat
01024000	CMwParamProc
010A9000	CMwCmdExpEnumCastedNum
010A8000	CMwCmdExpNumCastedEnum
010A7000	CMwCmdExpStringUpDownCase
010A6000	CMwCmdScriptVarEnum
010A4000	CMwCmdExpEnumIdent
010A5000	CMwCmdAffectIdentEnum
010A3000	CMwCmdExpStringTrunc
010A0000	CMwCmdArrayAdd
010A1000	CMwCmdArrayRemove
010A2000	CMwCmdExpClassThis
0109F000	CMwCmdExpVec3Function
0109E000	CMwCmdExpVec2Function
0109D000	CMwCmdExpStringFunction
0109B000	CMwCmdExpClassFunction
0109C000	CMwCmdExpIso4Function
0109A000	CMwCmdExpBoolFunction
01097000	CMwCmdProc
01098000	CMwCmdBlockProcedure
01099000	CMwCmdBlockFunction
01096000	CMwCmdContinue
01095000	CMwCmdBreak
01094000	CMwCmdReturn
01091000	CMwCmdExpNumDotProduct2
01092000	CMwCmdExpNumDotProduct3
01090000	CMwCmdExpIso4Inverse
0108F000	CMwCmdExpIso4Mult
0108E000	CMwCmdExpVec3Product
0108C000	CMwCmdExpVec3Mult
0108D000	CMwCmdExpVec3MultIso
0108B000	CMwCmdExpVec3Neg
0108A000	CMwCmdExpVec3Sub
01089000	CMwCmdExpVec3Add
01087000	CMwCmdExpVec2Neg
01088000	CMwCmdExpVec2Mult
01086000	CMwCmdExpVec2Sub
01083000	CMwCmdWait
01084000	CMwCmdLog
01085000	CMwCmdExpVec2Add
01082000	CMwCmdSleep
01080000	CBlockVariable
01030000	CMwCmdBlock
0107F000	CMwCmdAffectParamVec3
0107D000	CMwCmdAffectParamString
0107E000	CMwCmdAffectParamVec2
0107C000	CMwCmdAffectParamNum
0107B000	CMwCmdAffectParamIso4
0107A000	CMwCmdAffectParamEnum
01078000	CMwCmdAffectParamBool
01079000	CMwCmdAffectParamClass
01077000	CMwCmdAffectIdentVec3
01076000	CMwCmdAffectIdentVec2
01075000	CMwCmdAffectIdentString
01073000	CMwCmdAffectIdentIso4
01074000	CMwCmdAffectIdentNum
01072000	CMwCmdAffectIdentClass
0106F000	CMwCmdScriptVarVec2
01070000	CMwCmdScriptVarVec3
01071000	CMwCmdAffectIdentBool
0106E000	CMwCmdScriptVarString
0106D000	CMwCmdScriptVarIso4
0106C000	CMwCmdScriptVarInt
0106A000	CMwCmdScriptVarClass
0106B000	CMwCmdScriptVarFloat
01069000	CMwCmdScriptVarBool
01068000	CMwCmdScriptVar
01065000	CMwCmdBlockCast
01066000	CMwCmdSwitchType
01064000	CMwCmdExpIso4Param
01063000	CMwCmdExpIso4Ident
01062000	CMwCmdExpIso4
01060000	CMwCmdExpVec3Ident
01061000	CMwCmdExpVec3Param
0105F000	CMwCmdExpVec3
0105C000	CMwCmdExpVec2
0105D000	CMwCmdExpVec2Ident
0105E000	CMwCmdExpVec2Param
0105B000	CMwCmdSwitch
0105A000	CMwCmdExpEnumParam
01059000	CMwCmdExpEnum
01057000	CMwCmdExpClassIdent
01058000	CMwCmdExpClassParam
01053000	CMwCmdExpNumBin
01054000	CMwCmdExpBoolBin
01055000	CMwCmdExpNumFunction
01050000	CMwCmdExpStringParam
0104F000	CMwCmdExpStringIdent
0104E000	CMwCmdExpString
0104C000	CMwCmdExpSup
0104D000	CMwCmdExpSupEgal
0104B000	CMwCmdExpSub
01048000	CMwCmdExpNumParam
01049000	CMwCmdExpOr
0104A000	CMwCmdExpPower
01047000	CMwCmdExpNumIdent
01046000	CMwCmdExpNum
01045000	CMwCmdExpNot
01043000	CMwCmdExpMult
01044000	CMwCmdExpNeg
01042000	CMwCmdExpInfEgal
01041000	CMwCmdExpInf
01040000	CMwCmdExpEgal
0103E000	CMwCmdExpDiff
0103F000	CMwCmdExpDiv
0103D000	CMwCmdExpBoolParam
0103C000	CMwCmdExpBoolIdent
0103B000	CMwCmdExpBool
01039000	CMwCmdExpAdd
0103A000	CMwCmdExpAnd
01037000	CMwCmdWhile
01034000	CMwCmdCall
01035000	CMwCmdFor
01036000	CMwCmdIf
01033000	CMwCmdAffectParam
01032000	CMwCmdAffectIdent
01022000	CMwClassInfoViewer
00105100	CMwCmdExpStringConcat
01038000	CMwCmdExp
04001000	GxLight
0400A000	GxLightFrustrum
04007000	GxLightDirectional
04002000	GxLightBall
04006000	GxLightNotAmbient
04003000	GxLightPoint
1400D000	CHdrText
1400E000	CHdrUnknown
1400C000	CHdrElement
14009000	CHdrComment
1400A000	CHdrDeclaration
1400B000	CHdrDocument
14008000	CXmlUnknown
14005000	CXmlDocument
14006000	CXmlElement
14007000	CXmlText
14004000	CXmlDeclaration
14001000	CXmlNod
14002000	CXmlAttribute
14003000	CXmlComment
13002000	CInputPortDx8
13001000	CInputPort
1300C000	CInputDeviceDx8Pad
1300A000	CInputDeviceDx8Mouse
1300B000	CInputDeviceDx8Keyboard
13007000	CInputDevice
13003000	CInputPortNull
13006000	CInputBindingsConfig
13008000	CInputDeviceMouse
240C8000	CCtnControlGhostCard
240CB000	CCtnControlMessageCard
240CD000	CCtnControlGhostInfoCard
240C5000	CCtnControlArticleCard
240C2000	CCtnControlCampaignCard
240C3000	CCtnControlReplayRecordInfoCard
240C4000	CTrackManiaControlMatchSettingsCard
240C1000	CCtnControlVehicleCard
240BD000	CCtnParticleParam
240BE000	CTrackManiaControlRaceScoreCard
240BF000	CTrackManiaControlScores
240BC000	CCtnControlChapterCard
240B6000	CCtnControlNetOnlineNewsCard
240B7000	CCtnControlNetTeamInfoCard
240BB000	CCtnControlCalendarCard
240B5000	CTrackManiaPlayerProfile
240AC000	CCtnControlLadderRankingInfoCard
240B2000	CCtnControlChampionshipCard
240B3000	CCtnControlCalendarEventCard
240AB000	CConstructionDecorationTerrainModifier
240A7000	CCtnControlGridCardNetwork
240A8000	CCtnControlGenericCard
240A9000	CCtnControlNetOnlineEventCard
240A6000	CCtnControlNetworkServerInfoCard
240A3000	CConstructionControlDataType
240A4000	CConstructionControlGrid
240A5000	CCtnControlGridCard
240A2000	CConstructionControlCardManager
2409E000	CControlListCtnServers
2409F000	CTrackManiaRaceScore
240A1000	CCtnControlLeagueCard
2409D000	CControlListCtnChallenges
2409A000	CCtnControlChallengeInfoCard
2409B000	CCtnPainterSetting
2409C000	CTrackManiaMatchSettingsControlGrid
24099000	CConstructionControlCard
24092000	CCtnMediaBlockUiTMSimpleEvtsDisplay
24097000	CControlGridCampaign
24098000	CControlGridChallengeGroup
24091000	CCtnMediaBlockUi
2408D000	CControlTrackManiaBigScores
2408F000	CTrackManiaControlCard
24090000	CControlTrackManiaTeamCard
2408C000	CTrackManiaControlPlayerInfoCard
24088000	CCtnMediaBlockCameraEffectShake
24089000	CCtnMediaBlockMusicEffect
2408B000	CCtnMediaBlockCameraSimple
24087000	CGameControlCameraTrackManiaRace3
24083000	CCtnMediaBlockTransitionFade
24085000	CGameControlCameraTrackManiaRace
24086000	CGameControlCameraTrackManiaRace2
24081000	CCtnMediaBlockImage
2407D000	CCtnEdControlCamPath
2407E000	CTrackManiaReplayRecord
2407F000	CCtnMediaBlockEventTrackMania
2407C000	CCtnEdControlCamCustom
24078000	CTrackManiaRace1PGhosts
24079000	CTrackManiaRace1PCrazy
2407A000	CCtnMediaBlockCameraPath
24077000	CCtnMediaClipGroup
24070000	CCtnMediaBlockCameraOrbital
24075000	CCtnMediaBlockTrails
24076000	CCtnMediaClip
2406F000	CCtnMediaBlockSound
2406B000	CCtnMediaBlockFxBlurMotion
2406D000	CCtnMediaBlockCameraGame
2406E000	CTrackManiaControlCheckPointList
24068000	CCtnMediaBlockText
24064000	CConstructionBlockInfoRectAsym
24066000	CCtnMediaBlockTime
24067000	CCtnMediaBlockCameraCustom
24061000	CCtnMediaTrack
24056000	CTrackManiaRaceNetLaps
2405A000	CCtnMediaBlockFxColors
2405F000	CCtnMediaBlockFxBlurDepth
24055000	CTrackManiaRace1PSpecial
24049000	CConstructionScenePocLinkEditor
2404A000	CConstructionPlayerProfile
24050000	CConstructionDecorationMood
24048000	CConstructionEditor
24042000	CTrackManiaRace2PTurnBased
24045000	CTrackManiaRaceNetTimeAttack
24046000	CConstructionObjectInfo
24040000	CConstructionDecorationSize
2403D000	CTrackManiaEditorCatalog
2403E000	CConstructionCollectorVehicle
2403F000	CConstructionReplayRecord
2403C000	CConstructionCollectorList
24038000	CConstructionCampaign
24039000	CConstructionChallengeGroup
2403A000	CConstructionBlockSkin
24037000	CTrackManiaRaceNetRounds
2402E000	CTrackManiaMenus
24030000	CTrackManiaNetForm
24034000	CConstructionPlayerScores
2402C000	CConstructionZoneTest
24027000	CConstructionInterface
24028000	CConstructionNetForm
24029000	CConstructionBlockInfoPylon
24026000	CTrackManiaEditorTerrain
24023000	CConstructionBlockInfoRoad
24024000	CConstructionBlockInfoClip
24025000	CConstructionBlockInfoSlope
24022000	CConstructionBlockInfoClassic
2401F000	CConstructionDecoration
24020000	CConstructionBlockInfoFlat
24021000	CConstructionBlockInfoFrontier
2401E000	CConstructionZoneFrontier
2401B000	CConstructionGhost
2401C000	CConstructionZone
2401D000	CConstructionZoneFlat
2401A000	CConstructionDecorationAudio
24016000	CTrackManiaEditorFree
24017000	CTrackManiaEditorPuzzle
24018000	CTrackManiaRace1P
24015000	CTrackManiaSwitcher
24011000	CConstructionPylonColumn
24013000	CTrackManiaEditor
24014000	CTrackManiaRace
2400C000	CConstructionChallengeParameters
24007000	CConstructionBlock
24008000	CConstructionBlockUnit
24009000	CControlListConstruction
24006000	CConstructionBlockUnitInfo
24005000	CConstructionBlockInfo
24004000	CConstructionCollection
24001000	CTrackMania
24003000	CConstructionChallenge
2400D000	CConstructionArticle
2400F000	CConstructionCatalog
24047000	CConstructionHighScore
24033000	CConstructionGame
240AF000	CConstructionCalendar
240B1000	CConstructionChampionship
24012000	CConstructionMasterServer
2402A000	CConstructionNetworkServerInfo
240A0000	CConstructionLeague
24036000	CTrackManiaPlayerInfo
2400B000	CConstructionChallengeInfo
2400E000	CConstructionChapter
24041000	CTrackManiaMatchSettings
2406A000	CCtnMediaBlock
24094000	CCtnMediaBlockUiSimpleEvtsDisplay
24095000	CConstructionReplayRaceState
2404F000	CConstructionRace
2404D000	CConstructionPlayerInfo
24084000	CCtnMediaBlockCameraEffect
24069000	CCtnMediaBlockCamera
24082000	CCtnMediaBlockTransition
2407B000	CCtnEdControlCam
2405D000	CConstructionEditorReplay
24096000	CTrackManiaReplayRaceState
24063000	CCtnMediaBlockEvent
24062000	CCtnMediaTrackGhost
24065000	CCtnMediaBlockFxBlur
2402D000	CCtnMediaBlockFx
24071000	CCtnPlayerCameraSet
2400A000	CConstructionCollector
24044000	CTrackManiaRaceNet
240C7000	CConstructionRaceInterface
240C6000	CTrackManiaRaceInterface
2404E000	CConstructionPlayer
24051000	CTrackManiaEditorInterface
24053000	CConstructionMenus
24035000	CTrackManiaNetworkServerInfo
2402F000	CTrackManiaNetwork
240C9000	CConstructionNetLadderSkillRanking
2402B000	CConstructionNetwork
24054000	CConstructionOutlineBox
24052000	CConstructionCursor
24072000	CConstructionReplayRecordInfo
240CC000	CConstructionGhostInfo
2408A000	CCtnMediaClipViewer
2405E000	CCtnMediaClipPlayer
24032000	CTrackManiaControlPlayerInput
24080000	CTrackManiaPlayerCameraSet
24031000	CTrackManiaPlayer
24059000	CCtnPainter
240C0000	CConstructionManiaNetResource
240B4000	CConstructionTournament
