Class ID	Class Name
01001000	CMwNod
01003000	CMwEngine
01004000	CMwEngineMain
01005000	CMwCmd
01012000	CMwCmdFastCall
0101C000	CMwCmdBuffer
0101E000	CMwCmdFiber
01020000	CMwCmdBufferCore
01022000	CMwClassInfoViewer
01026000	CMwRefBuffer
01029000	CMwStatsValue
01037000	Bool
01038000	Real
01039000	GmVec2
0103A000	GmVec3
0103B000	GmVec4
0103C000	GmInt2
0103D000	GmInt3
0103E000	GmNat2
0103F000	GmNat3
01040000	GmQuat
01041000	GmIso4
01042000	Nat
01043000	Nat8
01044000	Nat16
01045000	Int
01046000	Int8
01047000	Int16
01048000	CMwId
01049000	CFastString
0104A000	CFastStringInt
0104B000	Enum8
0104C000	Enum16
0104D000	Enum32
0104E000	Vec3Color
0104F000	GmIso3
01050000	NatRange
01051000	IntRange
01052000	RealRange
01053000	GxRGBAColor
01055000	GmSimi2
01056000	GmMat3
01057000	MwTimeNs
01058000	NatAdr
01059000	SConstString
0105A000	SConstStringInt
0105B000	TSafePtr
01093000	CMwCmdContainer
010C0000	CMwCmdFastCallUser
010C1000	
010C4000	CMwCmdFastCallStatic
010C5000	CMwCmdFastCallStaticParam
03000000	CGameEngine
03001000	CGameManiaTitle
03002000	CGamePlayer
03003000	CGameTerminal
03005000	CGameApp
03006000	CGameMasterServer
03007000	CGameModuleEditorBase
03008000	CGameNod
03009000	CGameMenu
0300A000	CGameNetFormPlaygroundSync
0300B000	CGameMenuFrame
0300C000	CGameSystemOverlay
0300D000	CGamePlayground
0300E000	CGameNetPlayerInfo
0300F000	CGameNetwork
03010000	CGameNetFormTunnel
03011000	CGameManiaPlanetNetwork
03012000	CGameManiaTitleCore
03013000	CGameManiaPlanet
03014000	CGameStation
03017000	CGameManialinkEntry
03019000	CGameMenuColorEffect
0301B000	CGameCtnCollectorList
0301D000	CGameCtnChapter
0301E000	CGameCtnCatalog
0301F000	CGameCtnArticle
03020000	CGameLaunchedCheckpoint
03021000	CGameCtnPlayground
03023000	CWebServicesTask_PostConnect_PlugInList
03024000	CGameCtnMediaBlock3dStereo
03026000	CGameMasterServerRequest
03027000	CGameAvatar
03028000	CGameNetOnlineMessage
03029000	CGameCtnMediaBlockTriangles
0302A000	CGameRemoteBuffer
0302B000	CGameRemoteBufferPool
0302C000	CGameRemoteBufferDataInfo
0302D000	CGameResources
0302E000	CGameNetServerInfo
0302F000	CGameNetForm
03030000	CGameDialogs
03032000	CGameMenuScaleEffect
03033000	CGameCtnCollection
03034000	CGameCtnMediaBlockEditor
03036000	CGameCtnBlockUnitInfo
03037000	CGameFid
03038000	CGameCtnDecoration
03039000	CGameCtnDecorationAudio
0303A000	CGameCtnDecorationMood
0303B000	CGameCtnDecorationSize
0303F000	CGameGhost
03041000	CGameControlCameraFirstPerson
03042000	CGameControlCameraThirdPerson
03043000	CGameCtnChallenge
03044000	CGameCtnChallengeInfo
03045000	CGameOutlineBox
03046000	CGameCtnParticleParam
03047000	CGameHighScore
03048000	CGameCtnPainterSetting
03049000	CGameLeagueManager
0304A000	CGameCtnMediaBlockEditorTriangles
0304B000	CGameCtnMediaBlockTriangles2D
0304C000	CGameCtnMediaBlockTriangles3D
0304D000	CGameDisplaySettingsWrapper
0304E000	CGameCtnBlockInfo
0304F000	CGameCtnBlockInfoFlat
03050000	CGameCtnBlockInfoFrontier
03051000	CGameCtnBlockInfoClassic
03052000	CGameCtnBlockInfoRoad
03053000	CGameCtnBlockInfoClip
03054000	CGameCtnBlockInfoSlope
03055000	CGameCtnBlockInfoPylon
03056000	CGameCtnBlockInfoRectAsym
03057000	CGameCtnBlock
03058000	CGameCtnBlockUnit
03059000	CGameCtnBlockSkin
0305A000	CGameCtnPylonColumn
0305B000	CGameCtnChallengeParameters
0305C000	CGameCtnZone
0305D000	CGameCtnZoneFlat
0305E000	CGameCtnZoneFrontier
0305F000	CGameSkinnedNod
03060000	CGameCtnMediaShootParams
03061000	CGameScoreLoaderAndSynchronizer
03062000	CGameActionFxPhy
03063000	CWebServicesTaskResult_SeasonScript
03064000	CWebServicesTaskResult_SeasonList
03065000	CWebServicesTaskResult_SeasonListScript
03066000	CGameManialinkBrowser
03067000	CGameNetFormAdmin
03068000	CGameNetFileTransfer
03069000	CGameNetFormTimeSync
0306A000	CGameNetFormCallVote
0306B000	CGameControlCamera
0306D000	CGameControlCameraFree
0306E000	CGameControlCameraOrbital3d
0306F000	CGameControlCameraEffect
03071000	CGameControlCameraEffectShake
03072000	CGameControlCameraTarget
03076000	CGameLadderRanking
03077000	CGameCtnMediaBlock
03078000	CGameCtnMediaTrack
03079000	CGameCtnMediaClip
0307A000	CGameCtnMediaClipGroup
0307C000	CGameCtnMediaBlockCamera
0307D000	CGameCtnMediaBlockUi
0307E000	CGameCtnMediaBlockFx
0307F000	CGameCtnMediaBlockFxBlur
03080000	CGameCtnMediaBlockFxColors
03081000	CGameCtnMediaBlockFxBlurDepth
03082000	CGameCtnMediaBlockFxBlurMotion
03083000	CGameCtnMediaBlockFxBloom
03084000	CGameCtnMediaBlockCameraGame
03085000	CGameCtnMediaBlockTime
03086000	CGameCtnMediaClipPlayer
03087000	CGameCtnMediaBlockEvent_deprecated
03088000	CWebServicesTaskResult_AccountTrophyGainHistoryScript
03089000	CGameManiaNetResource
0308A000	CGamePlayerInfo
0308B000	CGameClientTrackingScript
0308C000	CGamePlayerProfile
0308D000	CGameScriptDebugger
0308E000	CGameLeague
0308F000	CGameCtnChallengeGroup
03090000	CGameCtnCampaign
03092000	CGameCtnGhost
03093000	CGameCtnReplayRecord
03094000	CGameCtnReplayRecordInfo
03096000	CGameLadderRankingLeague
03097000	CGameLadderRankingPlayer
03099000	CGameLadderRankingSkill
0309A000	CGameControlCard
0309B000	CGameControlCardManager
0309C000	CGameControlDataType
0309F000	CGameCtnMediaBlockCameraSimple
030A0000	CGameCtnMediaBlockCameraOrbital
030A1000	CGameCtnMediaBlockCameraPath
030A2000	CGameCtnMediaBlockCameraCustom
030A3000	CGameCtnMediaBlockCameraEffect
030A4000	CGameCtnMediaBlockCameraEffectShake
030A5000	CGameCtnMediaBlockImage
030A6000	CGameCtnMediaBlockMusicEffect
030A7000	CGameCtnMediaBlockSound
030A8000	CGameCtnMediaBlockText
030A9000	CGameCtnMediaBlockTrails
030AA000	CGameCtnMediaBlockTransition
030AB000	CGameCtnMediaBlockTransitionFade
030AD000	CGameCtnMediaClipViewer
030AE000	CGameCursorBlock
030AF000	CGameCtnEditor
030B3000	CGameCtnEdControlCam
030B4000	CGameCtnEdControlCamCustom
030B5000	CGameCtnEdControlCamPath
030B9000	CGameControlGrid
030BA000	CGameControlGridCard
030BB000	CGameCtnNetServerInfo
030BC000	CGameControlCardCtnChallengeInfo
030BD000	CGameControlCardGeneric
030BE000	CGameControlCardLeague
030BF000	CGameControlCardCtnNetServerInfo
030C0000	CGameCtnMediaBlockLightmap
030C1000	CGameControlCardLadderRanking
030C2000	CGameControlCardMessage
030C3000	CGameActionFxVis
030C5000	NGameMgrMap_SBlockInstance
030C7000	CGameControlCardProfile
030C8000	CGameControlCardCtnReplayRecordInfo
030C9000	CGameCtnMenus
030CA000	CGameLadderRankingCtnChallengeAchievement
030CB000	CGameCtnNetForm
030CC000	CGameRemoteBufferDataInfoFinds
030CD000	CGameUserProfileWrapper_VehicleSettings
030CE000	CGameRemoteBufferDataInfoSearchs
030CF000	CGameMgrActionFxPhy
030D0000	CGameScriptHandlerStation
030D1000	CGameCtnMasterServer
030D2000	CGameCtnNetwork
030D3000	CGameCtnApp
030D5000	CGameControlCardCtnArticle
030D7000	CGameManiaPlanetScriptAPI
030D8000	CGameControlCardCtnChapter
030DA000	CGameControlCardCtnGhostInfo
030DD000	CGameControlCardCtnVehicle
030E0000	CGameScriptDebuggerWorkspace
030E1000	CGameAnalyzer
030E2000	CGamePlaygroundInterface
030E3000	CGamePlaygroundSpectating
030E4000	CWebServicesTaskResult_AccountTrophyGainList
030E5000	CGameCtnMediaBlockGhostTM
030E6000	CGameEnvironmentManager
030E7000	CGameDialogShootParams
030E8000	CGameManialinkFileEntry
030E9000	CGameNetDataDownload
030EB000	CGameCtnMediaBlockSpectators
030EC000	CGameNetFormBuddy
030ED000	CGameScriptHandlerPlaygroundInterface
030EE000	CGameManiaAppStation
030F0000	CGameManialinkScriptHandler
030F3000	CGamePlaygroundControlScores
030F4000	CGameManialinkMediaPlayer
030F5000	CGameNetFormPlayground
030F6000	CGameCtnArticleNode
030F7000	CGameSwitcher
030F9000	CGameManialinkOldTable
