Class ID	Class Name
07002000	CControlContainer
07006000	CControlLabel
07001000	CControlBase
07009000	CControlEntry
0700A000	CControlEnum
0701C000	CControlEffectMaster
07014000	CControlUiRange
0700E000	CControlUiDockable
07019000	CControlUrlLinks
0700B000	CControlSlider
07015000	CControlGrid
07013000	CControlOverlay
07007000	CControlButton
0701B000	CControlQuad
07031000	CControlText
07027000	CControlStyleSheet
07017000	CControlStyle
0700C000	CControlLayout
07005000	CControlEffect
07012000	CControlForm
07004000	CControlUiElement
07016000	CControlFrame
0700F000	CControlList
07036000	CControlListCard
07018000	CControlField2
07003000	CControlEffectSwitchStyle
0701A000	CControlTimeLine
0701E000	CControlColorChooser
0701F000	CControlColorChooser2
07010000	CControlEffectSimi
07011000	CControlEffectMotion
07023000	CControlEffectCombined
07025000	CControlEffectMoveFrame
07022000	CControlTimeLine2
07024000	CControlDisplayGraph
07026000	CControlFrameStyled
07028000	CControlListMap
07029000	CControlListMap2
0702A000	CControlCurve
0700D000	CControlListItem
0702C000	CControlMediaPlayer
0701D000	CControlCredit
0702D000	CControlRadar
0702E000	CControlMediaItem
07030000	CControlPager
07032000	CControlFrameAnimated
07033000	CControlToolTipManager
07034000	CControlScriptEditor
07035000	CControlScriptConsole
0702F000	CControlGraph
0500E000	CFuncEnum
0501E000	CFuncTreeRotate
0500D000	CFuncTreeTranslate
05036000	CFuncEnvelope
0503C000	CCurveInterface
0501A000	CFuncKeysReal
05010000	CFunc
0500B000	CFuncPlug
0501C000	CFuncTree
05002000	CFuncKeys
06010000	CHmsViewport
06003000	CHmsItem
06008000	CHmsZoneElem
06001000	CHmsCamera
06014000	CHmsViewportPerfDbg
0601D000	CHmsConfig
06018000	CHmsPicker
06026000	CHmsAmbientOcc
06009000	CHmsZoneOverlay
06002000	CHmsCorpus
06004000	CHmsZone
06020000	CHmsItemShadow
06007000	CHmsPoc
06012000	CHmsShadowGroup
06016000	CHmsMgrVisDyna
06021000	CHmsLightMap
06022000	CHmsLightMapCache
06025000	CHmsCorpus2d
0600F000	CHmsCorpusLight
0600C000	CHmsLight
0602E000	CHmsLightProbePartition
0602F000	CHmsMgrVisEnvMap
06034000	CHmsMgrVisParticle
0602C000	CHmsLightArray
0602D000	CHmsDecalArray
06011000	CHmsPrecalcRender
0602B000	CHmsLightMapParam
06028000	CHmsLightMapCacheSH
06023000	CHmsLightMapMood
06024000	CHmsLightMapAlloc
06006000	CHmsPortal
0600E000	CHmsPortalProperty
06027000	CHmsLightProbeGrid
06017000	CHmsFogPlane
13001000	CInputPort
13003000	CInputPortNull
13006000	CInputBindingsConfig
13002000	CInputPortDx8
1300D000	CInputReplay
13010000	CInputScriptManager
13004000	CInputScriptEvent
13007000	CInputDevice
13008000	CInputDeviceMouse
13020000	CInputScriptPad
1300B000	CInputDeviceDx8Keyboard
1300A000	CInputDeviceDx8Mouse
1300C000	CInputDeviceDx8Pad
01001000	CMwNod
01020000	CMwCmdBufferCore
01012000	CMwCmdFastCall
010C4000	CMwCmdFastCallStatic
010C5000	CMwCmdFastCallStaticParam
010C0000	CMwCmdFastCallUser
01005000	CMwCmd
01067000	CMwCmdBlockMain
01024000	CMwParamProc
01026000	CMwRefBuffer
01093000	CMwCmdContainer
01003000	CMwEngine
01006000	CMwParam
0101C000	CMwCmdBuffer
01018000	CMwParamColor
0101A000	CMwParamIso4
01017000	CMwParamIso3
0101F000	CMwParamVec4
01016000	CMwParamVec3
01019000	CMwParamVec2
010B0000	CMwParamQuat
0101E000	CMwCmdFiber
01030000	CMwCmdBlock
01007000	CMwParamClass
01021000	CMwParamDataRef
01009000	CMwParamAction
0100C000	CMwParamBool
01008000	CMwParamStruct
0100D000	CMwParamEnum
01010000	CMwParamNatural
01011000	CMwParamNaturalRange
0100E000	CMwParamInteger
0100F000	CMwParamIntegerRange
01013000	CMwParamReal
01014000	CMwParamRealRange
01015000	CMwParamString
01028000	CMwParamStringInt
010D0000	CMwParamMwId
010C2000	CMwParamInt3
010C3000	CMwParamNat3
12001000	CNetNod
1200F000	CNetConnection
12012000	CNetHttpClient
1203F000	CNetUbiServices
12049000	CNetUplayPC
1200C000	CNetServer
12013000	CNetHttpResult
1203E000	CWebServicesTaskScheduler
12014000	CNetMasterServer
1203D000	CWebServicesTaskResult
120A3000	CNetUbiServicesTask_AcceptNDA
12046000	CNetUbiServicesTask_CompleteUplayActions
12041000	CNetUbiServicesTask_CreateSession
12042000	CNetUbiServicesTask_DeleteSession
12080000	CNetUbiServicesTask_GetProfileNews
