Class ID	Class Name
01001000	CMwNod
01020000	CMwCmdBufferCore
01006000	CMwParam
01003000	CMwEngine
0101C000	CMwCmdBuffer
01005000	CMwCmd
01012000	CMwCmdFastCall
010C4000	CMwCmdFastCallStatic
010C5000	CMwCmdFastCallStaticParam
010C0000	CMwCmdFastCallUser
01007000	CMwParamClass
01021000	CMwParamDataRef
01009000	CMwParamAction
0100C000	CMwParamBool
01008000	CMwParamStruct
01018000	CMwParamColor
0100D000	CMwParamEnum
01010000	CMwParamNatural
01011000	CMwParamNaturalRange
0100E000	CMwParamInteger
0100F000	CMwParamIntegerRange
01013000	CMwParamReal
01014000	CMwParamRealRange
01015000	CMwParamString
01028000	CMwParamStringInt
010D0000	CMwParamMwId
0101A000	CMwParamIso4
01017000	CMwParamIso3
0101F000	CMwParamVec4
01016000	CMwParamVec3
010C2000	CMwParamInt3
010C3000	CMwParamNat3
01019000	CMwParamVec2
010B0000	CMwParamQuat
01024000	CMwParamProc
01030000	CMwCmdBlock
01067000	CMwCmdBlockMain
01022000	CMwClassInfoViewer
01026000	CMwRefBuffer
010C1000	
0101E000	CMwCmdFiber
12012000	CNetHttpClient
12013000	CNetHttpResult
12001000	CNetNod
12002000	CNetServerInfo
12010000	CNetFormConnectionAdmin
12008000	CNetFormEnumSessions
12004000	CNetFormTimed
12009000	CNetFormPing
12007000	CNetFormQuerrySessions
1201B000	CNetFileTransferForm
1203F000	CNetUbiServices
1200F000	CNetConnection
12003000	CNetClientInfo
1203E000	CWebServicesTaskScheduler
12014000	CNetMasterServer
1203D000	CWebServicesTaskResult
120A3000	CNetUbiServicesTask_AcceptNDA
12046000	CNetUbiServicesTask_CompleteUplayActions
12041000	CNetUbiServicesTask_CreateSession
12042000	CNetUbiServicesTask_DeleteSession
12080000	CNetUbiServicesTask_GetProfileNews
1207F000	CNetUbiServicesTask_GetSpaceNews
1209E000	CNetUbiServicesTask_GetUnsentEvents
12044000	CNetUbiServicesTask_GetUplayActions
12045000	CNetUbiServicesTask_GetUplayRewards
12043000	CNetUbiServicesTask_LaunchUplay
12047000	CNetUbiServicesTask_PurchaseUplayReward
1209F000	CNetUbiServicesTask_RefreshSession
1204C000	CNetUbiServicesTask_RequestProfiles
120A2000	CNetUbiServicesTask_RetrieveBetaUserInfo
