Class ID	Class Name
21023000	CVskISAFRuleEngine
21094000	CVskRaceBoatInterface
21095000	CVskControlScores
21093000	CVskACTeam
21088000	CControlVsk3UiRadar
21089000	CVskPlayerProfile
21092000	CVskACModel
21087000	CVsk3UIPlayer
21080000	CConstructionChallengeVsk
21083000	CVskTrafficObjectInfo
21085000	CVskCollection
21070000	CVskCourse
21063000	CVskMeteo
21066000	CVskTraffic
21067000	CVskTrafficPath
2105F000	CVskCourseComponentInfo
21034000	CVsk3Config
2104E000	CVsk3Race
21050000	CVsk3Switcher
21032000	CVsk3Interface
2102A000	CVskPlayerInfo
21031000	CVsk3Menus
21021000	CVskIAMR
21005000	CVskControlACTeamCard
21007000	CVskControlNetworkServerInfoCard
21020000	CVskIAFR
21004000	CVskControlPlayer
21001000	CVirtualSkipper
21002000	CVskRegatta
21003000	CVskPlayer
2108F000	CVskISAFConcurrent
21084000	CVskISAF
21051000	CVsk3Network
21091000	CVskAC
21037000	CVskRaceInterface
21086000	CVskControlPlayerReplay
21013000	CVskControlPlayerIA
2100C000	CVskControlPlayerNet
2108C000	CVskPlayerCameraSet
2108D000	CVskReplayRecord
21065000	CVsk3EditorTraffic
21062000	CVsk3EditorMeteo
21060000	CVsk3EditorObject
2104C000	CVsk3EditorBlockTerrain
2104D000	CVsk3EditorBlockFree
2104B000	CVsk3Editor
21064000	CConstructionChallengeVskInfo
21052000	CVsk3NetworkServerInfo
2108B000	CConstructionChallengeVskParams
21053000	CVsk3NetForm
21090000	CCtnMediaBlockUiVskSimpleEvtsDisplay
21006000	CVskMasterServer
21008000	CVskReplayRaceState
2108E000	CCtnMediaBlockEventVsk
21061000	CVsk3EditorInterfaceMouse
2104F000	CVsk3EditorBlock
06010000	CHmsViewport
06003000	CHmsItem
06001000	CHmsCamera
06004000	CHmsZone
0600C000	CHmsLight
06019000	CHmsCollisionManager
0601D000	CHmsConfig
06018000	CHmsPicker
06009000	CHmsZoneOverlay
06006000	CHmsPortal
06011000	CHmsPrecalcRender
06002000	CHmsCorpus
0600E000	CHmsPortalProperty
06007000	CHmsPoc
0600B000	CHmsPocEmitter
06023000	CHmsPackLightMapMood
06024000	CHmsPackLightMapAlloc
06022000	CHmsPackLightMapCache
06020000	CHmsItemShadow
06021000	CHmsPackLightMap
06016000	CHmsForceFieldUniform
06017000	CHmsFogPlane
06015000	CHmsForceFieldBall
06012000	CHmsShadowGroup
06014000	CHmsForceField
0600F000	CHmsCorpusLight
0600D000	CHmsSoundSource
0600A000	CHmsListener
06008000	CHmsZoneElem
06005000	CHmsZoneDynamic
08056000	CMotionTimerLoop
08052000	CMotionManagerMeteo
08039000	CMotionTrackMobilMove
08033000	CMotionTrack
08034000	CMotionPlayer
08029000	CMotionCmdBase
08053000	CMotionManagerWeathers
08055000	CMotionDayTime
0802B000	CMotionShader
08059000	CMotionManagerParticles
0805A000	CMotionParticleType
0805B000	CMotionParticleEmitterModel
08058000	CMotionEmitterParticles
08057000	CMotionManagerMeteoPuffLull
08054000	CMotionWeather
08051000	CMotionWindBlocker
0804D000	CMotionManagerLeaves
0804A000	CMotionTrackMobilScale
0804C000	CMotionEmitterLeaves
08049000	CMotionBone
08048000	CMotionGroupPlayers
08047000	CMotionManagerCharacterAdv
08044000	CMotionTeamManager
08046000	CMotionManagerCharacter
08042000	CMotionTrackTree
08041000	CMotionTrackMobilPitchin
08040000	CMotionTrackVisual
08038000	CMotionLight
08037000	CMotionSkel
08036000	CMotionSkelSimple
08035000	CMotionTrackMobilRotate
08032000	CMotionPlayCmd
08030000	CMotionPath
0802F000	CMotionPlaySoundMobil
0802D000	CMotionCmdBaseParams
0802E000	CMotionPlaySound
08027000	CMotionFunc
08028000	CMotions
0804B000	CMotionManager
08001000	CMotion
0804E000	CMotionManaged
08045000	CMotionTeamAction
08031000	CMotionPlay
08043000	CMotionTeamActionInfo
05003000	CFuncKeysTrans
05035000	CFuncPuffLull
0501A000	CFuncKeysReal
05004000	CFuncKeysTransQuat
05034000	CFuncWeather
05038000	CFuncColorGradient
05036000	CFuncEnvelope
05031000	CFuncTreeSubVisualSequence
05020000	CFuncPathMesh
0500A000	CFuncKeysPath
0502C000	CFuncManagerCharacter
0501C000	CFuncTree
0501B000	CFuncVisual
05018000	CFuncLight
05006000	CFuncKeysSkel
05007000	CFuncSkelValues
05005000	CFuncSkel
05008000	CFuncKeysCmd
05013000	CFuncKeysSound
05002000	CFuncKeys
05043000	CFuncCurves2Real
05042000	CFuncCurvesReal
05039000	CFuncFullColorGradient
0503A000	CFuncClouds
05032000	CFuncTreeElevator
05033000	CFuncShaderTweakKeysTranss
05030000	CFuncKeysNatural
0502F000	CFuncGroupElem
0502D000	CFuncManagerCharacterAdv
0502E000	CFuncGroup
0502A000	CFuncKeysReals
0502B000	CFuncVisualBlendShapeSequence
05021000	CFuncPathMeshLocation
0501F000	CFuncTreeBend
0501E000	CFuncTreeRotate
0501D000	CFuncVisualShiver
05017000	CFuncColor
05019000	CFuncLightColor
05016000	CFuncShaderFxFactor
05014000	CFuncShaders
05015000	CFuncShaderLayerUV
0500F000	CFuncSin
05012000	CFuncKeysVisual
0500E000	CFuncEnum
0500D000	CFuncTreeTranslate
0500C000	CFuncLightIntensity
05010000	CFunc
0500B000	CFuncPlug
